Country,Technology,Grid connection,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central African Republic,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,0.368,8,480,1261,2639,3914.706,5217.783,6418.553
Chile,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,Onshore wind energy,On-grid,..,7,7,7,7,7,7,9,38,79,332,338,409,554,1443,2115,2449,3625.559,3587.895,4895.225
Chile,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,Solar photovoltaic,On-grid,6.4,6.4,6.4,6.4,7.1,42,48,60.6,84,170.4,518.4,1760.4,4100,8400,23300,39500,67374.145,117754.59,177546.728,224000
China,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,0.5,1,1,1,7.369,8.983,8.983,8.983,8.983,13.955
China,Onshore wind energy,On-grid,615,749,873,1039,1332,1600,2800,5697.964,11397.961,24897.878,48834.322,71175.211,102312.973,137546.326,159171.451,184806.498,239550.594,299383.818,356848.155,394517.89
China,Offshore wind energy,On-grid,..,..,..,..,..,..,..,2.036,2.039,2.122,165.678,324.789,487.027,753.674,728.549,793.502,2416.83,5177.412,9112.079,11512.11
Chinese Taipei,Solar photovoltaic,On-grid,..,..,..,..,1,1,1,2,4,9,22,62,160,321,529,850,1109,1667,2712,4014
Chinese Taipei,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chinese Taipei,Onshore wind energy,On-grid,1,12,16,24,25,91,276,440,588,787,1026,1493,1413,1640,1500,1525,1457,1702.1,1687.9,1605.5
